annotation_id,gene,confidence
ANN:00227,GENE033,19
ANN:00228,GENE034,20
ANN:00229,GENE035,20
ANN:00230,GENE036,0
ANN:00231,GENE037,99
ANN:00232,GENE038,40
ANN:00233,GENE039,97
ANN:00234,GENE040,88
ANN:00235,GENE041,4
ANN:00236,GENE042,4
ANN:00237,GENE043,52
ANN:00238,GENE044,11
ANN:00239,GENE045,78
ANN:00240,GENE046,27
ANN:00241,GENE047,74
ANN:00242,GENE048,15
ANN:00243,GENE049,70
ANN:00244,GENE050,73
ANN:00245,GENE051,97
ANN:00246,GENE052,68
ANN:00247,GENE053,11
ANN:00248,GENE054,17
ANN:00249,GENE055,8
ANN:00250,GENE056,2
ANN:00251,GENE057,3
ANN:00252,GENE058,74
ANN:00253,GENE059,94
ANN:00254,GENE060,70
ANN:00255,GENE061,76
ANN:00256,GENE062,26
ANN:00257,GENE063,98
ANN:00258,GENE064,97
ANN:00259,GENE065,37
ANN:00260,GENE066,69
ANN:00261,GENE067,97
ANN:00262,GENE068,82
ANN:00263,GENE069,98
ANN:00264,GENE070,23
ANN:00265,GENE071,76
ANN:00266,GENE072,90
ANN:00267,GENE073,3
ANN:00268,GENE074,2
ANN:00269,GENE075,74
ANN:00270,GENE076,97
ANN:00271,GENE077,34
ANN:00272,GENE078,70
ANN:00273,GENE079,0
ANN:00274,GENE080,47
ANN:00275,GENE081,3
ANN:00276,GENE082,85
ANN:00277,GENE083,37
ANN:00278,GENE084,85
ANN:00279,GENE085,93
ANN:00280,GENE086,68
ANN:00281,GENE087,6
ANN:00282,GENE088,27
ANN:00283,GENE089,1
ANN:00284,GENE090,51
ANN:00285,GENE091,81
ANN:00286,GENE092,48
ANN:00287,GENE093,75
ANN:00288,GENE094,67
ANN:00289,GENE095,88
ANN:00290,GENE096,36
ANN:00291,GENE000,92
ANN:00292,GENE001,47
ANN:00293,GENE002,31
ANN:00294,GENE003,53
ANN:00295,GENE004,16
ANN:00296,GENE005,97
ANN:00297,GENE006,89
ANN:00298,GENE007,40
ANN:00299,GENE008,92
ANN:00300,GENE009,77
ANN:00301,GENE010,64
ANN:00302,GENE011,2
ANN:00303,GENE012,12
ANN:00304,GENE013,71
ANN:00305,GENE014,80
ANN:00306,GENE015,82
ANN:00307,GENE016,56
ANN:00308,GENE017,73
ANN:00309,GENE018,15
ANN:00310,GENE019,57
ANN:00311,GENE020,54
ANN:00312,GENE021,73
ANN:00313,GENE022,69
ANN:00314,GENE023,58
ANN:00315,GENE024,79
ANN:00316,GENE025,71
ANN:00317,GENE026,67
ANN:00318,GENE027,97
ANN:00319,GENE028,52
ANN:00320,GENE029,46
ANN:00321,GENE030,82
ANN:00322,GENE031,87
ANN:00323,GENE032,68
ANN:00324,GENE033,29
ANN:00325,GENE034,85
ANN:00326,GENE035,10
ANN:00327,GENE036,50
ANN:00328,GENE037,70
ANN:00329,GENE038,97
ANN:00330,GENE039,96
ANN:00331,GENE040,96
ANN:00332,GENE041,71
ANN:00333,GENE042,64
ANN:00334,GENE043,62
ANN:00335,GENE044,40
ANN:00336,GENE045,78
ANN:00337,GENE046,35
ANN:00338,GENE047,62
ANN:00339,GENE048,81
ANN:00340,GENE049,55
ANN:00341,GENE050,55
ANN:00342,GENE051,14
ANN:00343,GENE052,63
ANN:00344,GENE053,87
ANN:00345,GENE054,71
ANN:00346,GENE055,33
ANN:00347,GENE056,7
ANN:00348,GENE057,73
ANN:00349,GENE058,95
ANN:00350,GENE059,92
ANN:00351,GENE060,13
ANN:00352,GENE061,70
ANN:00353,GENE062,97
ANN:00354,GENE063,56
ANN:00355,GENE064,9
ANN:00356,GENE065,74
ANN:00357,GENE066,37
ANN:00358,GENE067,30
ANN:00359,GENE068,68
ANN:00360,GENE069,83
ANN:00361,GENE070,62
ANN:00362,GENE071,27
ANN:00363,GENE072,25
ANN:00364,GENE073,93
ANN:00365,GENE074,89
ANN:00366,GENE075,90
ANN:00367,GENE076,71
ANN:00368,GENE077,99
ANN:00369,GENE078,25
ANN:00370,GENE079,51
ANN:00371,GENE080,97
ANN:00372,GENE081,38
ANN:00373,GENE082,25
ANN:00374,GENE083,70
ANN:00375,GENE084,3
ANN:00376,GENE085,25
ANN:00377,GENE086,34
ANN:00378,GENE087,16
ANN:00379,GENE088,85
ANN:00380,GENE089,92
ANN:00381,GENE090,33
ANN:00382,GENE091,42
ANN:00383,GENE092,61
ANN:00384,GENE093,62
ANN:00385,GENE094,93
ANN:00386,GENE095,37
ANN:00387,GENE096,62
ANN:00388,GENE000,46
ANN:00389,GENE001,76
ANN:00390,GENE002,74
ANN:00391,GENE003,86
ANN:00392,GENE004,30
ANN:00393,GENE005,56
ANN:00394,GENE006,85
ANN:00395,GENE007,76
ANN:00396,GENE008,84
ANN:00397,GENE009,51
ANN:00398,GENE010,94
ANN:00399,GENE011,80
ANN:00400,GENE012,74
ANN:00401,GENE013,35
ANN:00402,GENE014,28
ANN:00403,GENE015,9
ANN:00404,GENE016,67
ANN:00405,GENE017,69
ANN:00406,GENE018,39
ANN:00407,GENE019,72
ANN:00408,GENE020,7
ANN:00409,GENE021,92
ANN:00410,GENE022,86
ANN:00411,GENE023,42
ANN:00412,GENE024,55
